DATE_TIME,FROZEN_CM,THAW_CM,WATER_CONTENT_CM,SNOW_COVER_CM,TERRAIN,SITE
1959-02-10,2,,1.5,60,0,скв.108
1959-02-10,12,,6.5,57,1,уч.4
1959-02-10,2,,1.2,,0,уч.4
1959-02-20,12,,7.7,56,1,скв.105
1959-02-20,1,,0.7,64,0,скв.105
1959-02-20,11,,7.2,52,3,скв.107а
1959-02-20,4,,3.9,60,2,скв.107а
1959-02-20,9,,6.4,57,1,скв.108
1959-02-20,2,,1.7,60,0,скв.108
1959-02-20,10,,4.7,55,1,уч.4
1959-02-20,2,,1,,0,уч.4
1959-02-28,8,,4.7,83,1,скв.105
1959-02-28,1,,0.7,85,0,скв.105
1959-02-28,10,,7.1,65,3,скв.107а
1959-02-28,5,,4.6,78,2,скв.107а
1959-02-28,14,,7.4,64,1,скв.108
1959-02-28,2,,1.2,64,0,скв.108
1959-02-28,11,,6.4,80,1,уч.4
1959-02-28,0,,,,0,уч.4
1959-03-10,9,,4.6,81,1,скв.105
1959-03-10,1,,0.9,84,0,скв.105
1959-03-10,10,,6.6,61,3,скв.107а
1959-03-10,1,,1,78,2,скв.107а
1959-03-10,8,,4.3,84,1,скв.108
1959-03-10,2,,1.6,86,0,скв.108
1959-03-10,10,,3.7,74,1,уч.4
1959-03-10,,,,,0,уч.4
1959-03-20,4,,1.6,72,1,скв.105
1959-03-20,,,,74,0,скв.105
1959-03-20,8,,7.2,54,3,скв.107а
1959-03-20,2,,2.5,67,2,скв.107а
1959-03-20,16,,9.8,69,1,скв.108
1959-03-20,3,,2.6,74,0,скв.108
1959-03-20,3,,1.1,67,1,уч.4
1959-03-20,,,,,0,уч.4
1959-03-31,6,,4.2,51,1,скв.105
1959-03-31,1,,0.9,52,0,скв.105
1959-03-31,5,,2.8,47,3,скв.107а
1959-03-31,4,,3.8,39,2,скв.107а
1959-03-31,6,,5.2,56,1,скв.108
1959-03-31,,,,55,0,скв.108
1959-03-31,1,,0.4,55,1,уч.4
1959-03-31,,,,,0,уч.4
